Index|Stock>,Undetected Active Errors,Undetected Passive Errors,
0,0,0,
1,3.56771226692,-37.0293939623,
2,5.6649209758,-36.2949348831,
3,8.32978397174,-36.6653346621,
4,10.5622212013,-37.0587825403,
5,14.5654572331,-34.5174275077,
6,17.5641709107,-38.2934018933,
7,20.8182150972,-35.7945334595,
8,23.3617879827,-36.3579480866,
9,26.9457701838,-36.6974471613,
10,28.7706727873,-37.5083270041,
11,31.3999037407,-36.6840735829,
12,34.8766927432,-36.6423024495,
13,37.3324947076,-37.3000934131,
14,41.5439886835,-35.6798160801,
15,45.225852039,-36.6199318282,
16,48.3791563798,-35.62112618,
17,51.0302195345,-36.7564427346,
18,54.4229521762,-35.7319915323,
19,56.3463863266,-36.7939103739,
20,61.3006620125,-35.7132797064,
21,64.1856626365,-36.6847940438,
22,66.6170080758,-36.5719138518,
23,69.7108058034,-36.5362417805,
24,73.4374619974,-35.4213745816,
25,76.5325477555,-36.0683244127,
26,80.5298964253,-36.1416599035,
27,84.882700907,-34.856385122,
28,86.629405389,-37.5857141162,
29,89.8006074489,-36.5425291613,
30,92.7458523926,-35.7693245289,
31,97.1555081169,-36.2030324634,
32,101.060212992,-36.7287524679,
33,104.194995139,-36.7825741117,
34,107.464981593,-35.8781774078,
35,111.979109697,-35.4320566438,
36,115.235899273,-35.5439257043,
37,117.668469678,-36.8360019674,
38,119.87145894,-35.7252538711,
39,125.37657906,-35.2789925562,
40,128.285182101,-36.3616024822,
41,130.589377242,-37.197424535,
42,132.252168036,-37.2930601201,
43,135.576632847,-36.5104032259,
44,139.310027237,-36.6784173523,
45,143.444638998,-35.0358353337,
46,145.734230518,-37.1373063969,
47,148.880167414,-36.2284244234,
48,150.659718034,-36.8251938157,
49,153.182428042,-37.4609798137,
50,157.42668566,-37.0697973486,
51,159.08550087,-36.7616925316,
52,162.276176324,-37.6192217528,
53,165.325445094,-35.5841722251,
54,168.416361854,-37.3007847295,
55,170.510830315,-35.7036081745,
56,174.159010325,-37.2634678991,
57,176.416638959,-38.1330144905,
58,178.616524937,-36.5973462296,
59,182.711314832,-34.730178908,
60,186.901314129,-37.0212742526,
61,191.227035031,-36.3223911021,
62,193.515685685,-37.2626564123,
63,196.423670974,-37.6141300624,
64,198.619741003,-36.5061103916,
65,200.329249238,-36.141599297,
66,203.246395066,-35.3482564622,
67,204.88950365,-36.2798115625,
68,206.606588077,-38.02116999,
