Index|Stock>,Undetected Active Errors,Undetected Passive Errors,
0,0,0,
1,2.75667411862,3.14575320827,
2,6.79179674569,4.39669533522,
3,10.79181464,4.6664266695,
4,14.8502914027,4.34671883887,
5,19.3495884956,4.52235727566,
6,21.6256258434,2.92432168731,
7,26.1733843368,5.11706594637,
8,29.0956651528,2.97098307191,
9,33.0147468132,4.00687382909,
10,36.7411993704,3.70544104647,
11,39.8368012354,3.96581918621,
12,43.591553329,3.50797732769,
13,47.0741832347,4.41260737492,
14,49.0474147855,3.01705558831,
15,51.4858732972,3.39542163161,
16,53.7841973439,2.17349987344,
17,57.3005937454,3.45708998908,
18,60.0696513947,3.15616828521,
19,62.8729132413,2.98799471159,
20,67.429174406,4.72260854112,
21,70.0557561135,2.56639419176,
22,72.9577198097,2.32753089606,
23,76.8747581867,3.16631153168,
24,80.2363755431,3.17048560824,
25,81.9026506158,2.68575360495,
26,85.4196013222,4.07405185763,
27,87.8677324849,4.15756993462,
28,90.5521082248,3.16222379844,
29,94.5361830445,4.24051057254,
30,99.4929053455,4.75840509473,
31,102.886261524,3.02418464824,
32,106.671993114,3.1939703494,
33,109.882769978,3.94200881442,
34,112.635737358,3.91635400966,
35,115.57585782,3.87341348002,
36,118.439389824,3.55823704846,
37,121.932262621,3.46114230957,
38,124.664304412,3.50904636969,
39,129.488728429,4.42560493924,
40,133.952376683,3.1600532571,
41,136.403523893,3.76782207609,
42,139.402325048,3.32412600093,
43,141.640068976,3.0463937643,
44,145.088334537,3.75791770957,
45,148.15935693,3.50204060014,
46,150.230215539,3.09962026789,
47,153.414235371,2.43837670305,
48,155.51001353,3.69030554309,
49,159.284472824,3.1326011996,
50,163.050292627,4.57613885608,
51,168.373999946,4.51949489436,
52,171.685493139,3.2833883579,
53,175.505651536,4.14821935284,
54,179.795593853,3.94354366734,
55,184.78079734,3.34272826697,
56,190.064057416,3.81646168728,
57,192.646487807,3.82379233147,
58,196.270026316,4.21275503511,
59,200.081842799,3.71394637464,
60,203.178201613,3.89630076794,
61,206.271305562,3.50401592035,
62,209.781185292,2.7533793803,
63,212.803937794,3.37405027331,
64,215.479591283,2.16869693585,
65,218.906019382,3.21910620246,
66,222.958890849,4.04334177225,
67,227.748032551,4.55743825937,
68,230.579963869,2.30088443069,
69,234.029341357,3.5927605986,
70,237.607071262,4.66532061073,
71,240.268304701,3.02710578041,
72,242.845090268,3.75787324101,
73,245.352203019,3.3015369535,
74,248.709456755,3.33894734969,
75,250.953727951,2.91424536063,
76,253.927289647,3.78939666793,
77,257.02133349,3.55669280674,
78,258.044296638,1.22152349936,
79,262.030214333,4.49637672763,
