Index|Stock>,Undetected Active Errors,Undetected Passive Errors,
0,0,0,
1,3.23003077226,-35.4478765456,
2,5.7119970388,-37.699869483,
3,8.18510614094,-36.9912004654,
4,11.9897760741,-35.5756697208,
5,13.5637725935,-36.7773801148,
6,14.8360350241,-37.0628333757,
7,18.1623757584,-35.6918699815,
8,22.4192747274,-35.7797926782,
9,25.5250703969,-35.7964756128,
10,28.9431690582,-37.7274442075,
11,31.868245257,-36.7831946915,
12,33.5781590956,-37.6353468629,
13,36.1457844807,-36.2249120501,
14,37.6659048303,-38.3966808999,
15,40.7015697921,-37.1692520242,
16,43.1598259772,-37.4213876999,
17,45.5387181812,-36.8190588524,
18,48.3086946805,-37.3051010749,
19,51.4939342318,-37.1729152856,
20,53.2040430824,-37.98402919,
21,56.0976085029,-35.8388031,
22,58.2859992183,-37.3816866487,
23,61.520750636,-36.1616060464,
24,64.6357062675,-35.9200519076,
25,67.6130202826,-37.1048193215,
26,69.7356999958,-37.6264437261,
27,72.8474150394,-37.3355313565,
28,75.844377297,-35.6874836512,
29,79.3558308766,-35.5214427206,
30,82.2675611917,-36.5481755721,
31,85.9612176759,-36.8932602791,
32,90.5801181069,-35.2954314191,
33,93.5082439584,-35.3413038652,
34,95.4988724215,-36.7973716758,
35,98.2791259567,-35.6301462737,
36,101.466368596,-36.7237342456,
37,103.973815943,-36.5130730799,
38,108.371754132,-35.8245043632,
39,112.079606556,-35.1760107174,
40,115.983724301,-36.3294382591,
41,118.171114999,-37.1739786306,
42,122.379511438,-35.8593608988,
43,125.375660609,-34.7174324845,
44,127.232481984,-36.2898054245,
45,130.239667996,-36.7869090279,
46,133.051577987,-36.3104494637,
47,135.927682016,-36.4977761335,
48,138.63776163,-37.1222777127,
49,140.40514082,-37.3885649927,
50,142.380956866,-36.2390521913,
51,145.090424789,-36.0755233556,
52,149.218042438,-34.6287762752,
53,152.578735613,-34.5382224715,
54,155.765728559,-36.2290817099,
55,158.926084209,-37.3384387682,
56,160.717011467,-37.2094992981,
57,163.021102801,-37.9611740254,
58,166.510859024,-37.0803060843,
59,169.021902481,-35.645653025,
60,173.026294675,-37.2521121321,
61,175.704896428,-35.8795725069,
62,177.931573821,-36.8884092355,
63,181.310589555,-35.6393856342,
64,185.796907666,-35.8617060999,
65,189.263367122,-35.6698938265,
66,193.258842356,-36.7301456171,
67,194.92324425,-39.0407852255,
68,196.447784996,-37.0377482125,
69,197.872048229,-36.8730534767,
70,199.87227005,-36.9255002707,
71,202.443843497,-36.5914792,
72,204.420249564,-36.2835514049,
73,206.717913509,-36.3995036432,
74,208.43490017,-36.8110978077,
75,211.247937331,-36.0752210254,
76,214.361637158,-36.5558111875,
77,218.907915815,-35.5524422372,
78,221.13750518,-37.3819159656,
79,225.686184233,-35.580284728,
80,228.628506783,-35.3823180076,
81,231.731416635,-36.0023270963,
82,236.103658695,-36.2453195835,
83,240.536575158,-34.9715565563,
84,243.403660171,-37.0096009108,
85,246.737411453,-36.5487245227,
86,251.679615573,-36.244399395,
87,255.913071287,-36.6028615082,
88,259.241694515,-36.6855071979,
89,261.073210787,-37.1796190451,
90,265.005245966,-36.5266837582,
91,268.590631897,-36.5099913806,
92,272.855442442,-36.4362852682,
93,276.195871144,-36.6781023319,
94,279.367873629,-36.7055035662,
95,283.283049685,-36.3247087109,
96,286.482385171,-35.8464897068,
97,289.017120448,-35.9043180778,
98,290.967424272,-36.3272162476,
99,294.706842079,-35.7755564426,
100,297.458993878,-36.7193829368,
101,301.207901623,-35.8665937865,
102,305.380907774,-36.3906522179,
103,307.501217525,-36.7664434003,
104,309.746934384,-36.8584908874,
105,312.096906885,-37.1919977232,
106,314.617914912,-36.1148966472,
107,317.490840434,-37.0146708863,
108,320.625601965,-36.7823363511,
109,325.171201388,-35.9700817311,
110,327.206992044,-36.3486348884,
111,330.155184954,-37.2982422636,
112,333.556231045,-35.9373319679,
113,336.784224979,-35.7475455167,
114,341.810470612,-35.2003004935,
115,344.222125405,-37.0069252044,
116,347.663385398,-36.3067924587,
117,350.550600277,-36.8625818515,
118,354.485276306,-36.2635646203,
119,356.004728326,-37.3327808366,
120,357.776404132,-36.7948640675,
121,360.900334667,-37.2791263194,
122,365.413956388,-35.5700770655,
123,366.869531394,-37.6953982586,
124,369.841651077,-36.6703925583,
125,371.659187088,-36.7786416886,
126,376.397151745,-35.6508410509,
127,379.151840635,-35.7907923187,
128,381.867948869,-36.0341310417,
129,385.295713991,-36.0372669359,
130,389.588679915,-36.1637090121,
131,393.451120535,-37.1476290371,
132,395.721969059,-36.4685615859,
133,399.74222,-36.4969818134,
134,403.452274236,-36.3005510433,
135,407.043268701,-35.5093804132,
136,409.618652003,-37.0021595932,
137,413.008137623,-35.746628577,
138,416.805717114,-35.1266344887,
139,419.190445943,-37.0230179434,
140,421.657211767,-37.1858048812,
141,423.468751176,-36.9369066094,
142,425.609974899,-37.6750121017,
143,428.142444738,-38.3786495512,
144,432.716414356,-35.8664056715,
145,436.538172987,-36.4874265997,
146,440.399188875,-35.1995110509,
147,442.720804568,-36.0587039297,
148,444.714306668,-37.4098514802,
149,446.085176989,-37.5765947595,
150,448.634284834,-37.1201807262,
151,451.127008588,-37.2271690416,
152,453.805455253,-36.9978810176,
153,457.221666353,-35.5652381007,
154,459.058549366,-37.7406277617,
155,461.859766085,-36.6554003746,
156,464.366148468,-36.0340708432,
157,465.935476177,-37.216623504,
158,468.749465264,-37.0734191684,
159,471.150944277,-37.2010790448,
160,475.472066815,-35.2842934899,
161,479.625210313,-35.9100727245,
162,482.562518606,-36.9131700974,
163,486.23805782,-36.8357727183,
164,488.81248539,-36.832645999,
165,492.750624132,-36.8793776553,
166,498.323232331,-35.4325041416,
167,502.188648585,-35.160256207,
168,505.048496849,-36.372526883,
169,508.841737468,-35.8969470111,
170,510.653191349,-36.8571266795,
171,514.170634207,-36.3908074315,
172,516.807976012,-36.1873454779,
173,521.199735809,-35.8445991545,
174,524.366169628,-36.275430034,
175,527.412587381,-36.6465672141,
176,531.989082425,-36.2746376719,
177,535.061362894,-36.9597307476,
178,537.79440986,-37.0088846438,
179,541.25630182,-35.3182112869,
180,545.345347615,-35.4034665409,
181,548.658870552,-35.4330545743,
182,549.87308385,-38.1354443472,
183,553.555199123,-36.7912735259,
184,557.226847012,-34.9040900336,
185,560.7052497,-35.6820638887,
186,564.624297689,-35.5619483482,
187,566.614544653,-35.73213713,
188,568.621049253,-37.1454929557,
189,572.585326495,-35.150820703,
190,576.155840018,-35.7940125344,
191,579.338389006,-35.9092409401,
192,581.722402033,-36.9114037979,
193,583.970908571,-36.0282848485,
194,586.355289339,-36.3778914056,
195,587.911415887,-36.9897178181,
196,590.175553806,-37.281504708,
197,591.57609346,-37.2725728868,
198,594.28682578,-36.4236299451,
199,597.585823998,-37.5619505575,
200,602.310921411,-35.205794035,
201,605.245003731,-37.2156428199,
202,608.408248111,-37.7288258471,
203,611.93014633,-36.33770565,
204,615.428890069,-36.3056313517,
205,620.011161119,-35.8435002651,
206,623.092534294,-35.3954589301,
207,625.441558589,-37.4488812218,
208,627.04144722,-38.3092765597,
209,628.258937837,-37.205797126,
210,630.671526,-36.492223926,
211,632.759504348,-35.6301193944,
212,635.583218079,-35.3866178599,
213,640.43461699,-36.2515283488,
214,644.219560995,-35.8361337031,
215,647.200496577,-37.1410677588,
216,651.078066079,-34.8984321477,
217,655.057573574,-36.0644587087,
218,658.344547277,-35.4452772423,
219,661.273015956,-37.5299315246,
220,662.5504661,-36.2802452462,
221,665.226586861,-35.5346995256,
222,667.482852164,-37.7715960637,
223,670.508328387,-36.3992302708,
224,671.674423048,-37.6592195923,
225,675.005773058,-37.268651005,
226,677.787713532,-36.7349594612,
227,681.612843275,-36.1105806995,
228,684.879973279,-37.0869574057,
229,686.397493406,-37.732222728,
230,690.636179945,-36.0529903708,
231,692.674443931,-36.5920100539,
232,696.095778977,-36.0114822489,
233,699.873957181,-35.7951001179,
234,703.199033887,-35.9689773704,
235,704.209437925,-37.4683849192,
236,707.653103348,-35.9469319718,
237,710.574817612,-36.2938376685,
238,713.824306911,-36.4351145027,
239,716.666036607,-37.2176911343,
240,718.778660598,-37.0703483828,
241,722.636612029,-36.4977329198,
242,724.941838377,-36.520062807,
243,726.859985768,-36.4810540847,
244,730.136357162,-35.6499432188,
245,735.217452302,-36.2135751607,
246,740.005985651,-35.0358257161,
247,741.595034703,-38.2752836661,
248,743.513007098,-37.7061768527,
249,745.843206006,-37.7061179952,
250,749.334230605,-35.658536451,
251,752.299976021,-35.6653529487,
252,756.095727122,-35.5213075033,
253,759.185748675,-37.0601193177,
254,762.730546631,-35.9939768139,
255,767.199535887,-34.9633084824,
256,769.84452239,-36.8448943587,
257,773.590045503,-35.6640961865,
258,776.87500479,-36.2668147074,
259,780.276454582,-35.9900379456,
260,782.996237747,-36.1484611137,
261,786.784818679,-36.0774137209,
262,790.67177477,-35.0771997962,
263,794.11871895,-36.7754749427,
264,797.324152369,-36.8896406083,
265,800.092066927,-36.8941556707,
266,804.939905198,-35.4670355183,
267,808.503216376,-36.0621883821,
268,811.500431539,-37.0885363988,
269,814.875073699,-35.8997804008,
270,818.943586186,-36.1956320454,
271,821.192256764,-37.578577685,
272,825.349434863,-35.3792812156,
273,827.062620298,-38.3044654662,
274,829.796889547,-36.0541470243,
275,832.896528703,-37.9037623534,
276,834.819483441,-37.4781878897,
277,838.686900322,-36.4323366554,
278,841.651341525,-37.3424365889,
279,845.034574501,-36.4549069005,
280,847.579758817,-36.2116553754,
281,850.963154418,-36.8995805312,
282,852.075354165,-37.9943351132,
283,855.319322094,-36.0739837183,
284,858.295245111,-35.5090281977,
285,860.950903389,-36.6241166847,
286,863.942600905,-36.0669832891,
287,868.561294614,-36.6642766338,
288,869.386927841,-36.9947248771,
289,873.058450366,-35.324254225,
290,876.847139358,-35.8513321316,
291,880.249541806,-35.8479618769,
292,882.653282138,-36.5125238595,
293,885.848753439,-36.4271184247,
294,888.706993757,-36.9333291238,
295,891.905034322,-36.3253732307,
296,895.242727117,-36.7054598324,
297,898.296966922,-37.2667333312,
298,901.420893675,-37.4061768061,
299,902.596549708,-37.3315081999,
300,908.240538479,-35.1748659053,
301,912.320970348,-36.5432474793,
302,914.862773565,-37.154561,
303,917.284579115,-36.3015618427,
304,919.779057614,-36.5346800328,
305,923.656060396,-35.8797113433,
306,926.499970369,-37.2827309029,
307,930.366574978,-36.8206406164,
308,934.640047466,-35.9569605712,
309,937.050970127,-35.8705395594,
310,939.676564948,-36.4747641742,
311,941.603324558,-36.3411041726,
312,944.32835974,-37.847159976,
313,947.66813005,-35.496775797,
314,951.028920145,-36.9310972812,
315,953.975471341,-36.5781545417,
316,957.790531969,-35.8411765818,
317,960.554260131,-36.4936100571,
318,964.087747153,-36.9455917896,
319,967.034962835,-35.5809773959,
320,970.991003027,-36.6739802406,
321,972.598276288,-37.5811929221,
322,975.566061887,-35.7657003209,
323,977.769654846,-38.0177730984,
324,980.174830177,-37.0111661036,
325,980.528400404,-37.8339090054,
326,983.295621886,-36.9749208001,
327,987.258435302,-35.8519148146,
328,990.709040931,-36.8393712285,
329,993.82337524,-36.6372013187,
330,997.069271539,-36.3723658272,
331,1000.37930993,-35.4037424448,
332,1001.99852507,-36.6674909913,
333,1005.43902085,-36.6763754715,
334,1007.93294935,-37.7056148916,
335,1011.31155096,-35.761320985,
336,1013.84807521,-36.0805927141,
337,1017.35787732,-36.2791085911,
338,1021.50531146,-34.0202364017,
339,1024.88829743,-37.1218299983,
340,1027.85534586,-36.7531631645,
341,1030.0897404,-35.8351419926,
342,1033.29854118,-36.1477324945,
343,1035.39456383,-37.1197767197,
344,1037.23793791,-37.0455154122,
345,1040.24251885,-36.8833224574,
346,1044.0735762,-35.3177653404,
347,1046.79235424,-35.9601648871,
348,1048.2681749,-37.0926537819,
349,1050.59873206,-36.7765703832,
350,1054.25102511,-36.3716465927,
351,1056.68445425,-37.0141365954,
352,1059.75046669,-35.6711989505,
353,1063.09121995,-36.0304569511,
354,1065.61028601,-37.9733999356,
355,1068.89692928,-36.1242856601,
356,1070.99607993,-36.8043660554,
357,1073.67480281,-35.6908061332,
358,1078.20536179,-36.1803780551,
359,1080.85388787,-36.9825033686,
360,1084.26968624,-37.2109435971,
361,1087.62282629,-37.4202099101,
362,1090.55570327,-34.9221580262,
363,1093.34551117,-35.9573829007,
364,1097.98930486,-34.7864115032,
365,1101.60786159,-35.7868429943,
366,1103.41820604,-37.6860362802,
367,1105.00639179,-37.5888826498,
368,1107.05698798,-37.2724540399,
369,1108.68277702,-37.938318104,
370,1111.47054029,-35.6044407924,
371,1114.09725008,-37.0860915184,
372,1115.5494283,-37.4532754091,
373,1119.13200528,-36.0674837287,
374,1122.35050835,-37.8205032973,
375,1126.33082738,-35.6135976983,
376,1129.85170946,-36.7626044367,
377,1134.21754427,-36.0525777717,
378,1136.07013962,-37.9228233172,
379,1139.07671194,-35.5783877828,
380,1141.90724742,-37.0997714315,
381,1144.46189011,-36.1414456874,
382,1145.64689964,-36.5297888061,
383,1149.18467201,-36.1352943974,
384,1151.71937354,-37.1094710158,
385,1154.49500574,-36.5459289541,
386,1156.22335091,-38.0819279858,
387,1159.46285344,-37.5862215301,
388,1163.3639315,-36.0328953178,
389,1165.37977277,-36.1694032109,
390,1166.1734847,-37.5461763108,
391,1170.24631275,-35.3766481865,
392,1174.80736682,-35.2537407003,
393,1177.53581882,-37.2652334242,
394,1179.76651493,-36.0917887242,
395,1182.54038582,-36.1993374999,
396,1186.46866828,-36.5472062054,
397,1187.79177418,-37.5738426225,
398,1189.66304936,-37.3350163933,
399,1192.96423868,-36.5015909147,
400,1197.64237178,-36.4538555709,
401,1201.06824449,-36.7073875038,
402,1202.36023795,-37.3717548254,
403,1205.37977103,-37.7729705587,
404,1210.20389211,-35.742999211,
405,1212.99916531,-37.9372659637,
406,1216.14480226,-37.2025584659,
407,1218.88518709,-36.503680059,
408,1222.47440526,-36.4049272899,
409,1224.87972096,-36.9494840509,
410,1228.87317029,-36.4516486951,
411,1231.4333517,-36.4778240406,
412,1235.91285353,-35.098873893,
413,1239.07861603,-36.9538224228,
414,1242.8074326,-34.9522882653,
415,1247.28039034,-35.5521714666,
416,1251.47577607,-35.4263853545,
417,1254.5514063,-36.0967985226,
418,1256.85750168,-36.1441920586,
419,1259.64924284,-36.7050664532,
420,1261.63144678,-36.5712530625,
421,1264.62946148,-36.5803042552,
422,1268.89919303,-36.4228875458,
423,1271.79759521,-36.0211483001,
424,1273.27183677,-38.264997651,
425,1275.7373918,-37.2663693685,
