Index|Stock>,Undetected Active Errors,Undetected Passive Errors,
0,0,0,
1,2.97103848342,-36.1329153153,
2,5.71165223756,-36.0343207717,
3,8.75657644134,-37.3277300088,
4,12.4577309048,-36.6920560792,
5,14.0207722397,-37.4725052379,
6,16.3118938765,-37.3066934731,
7,19.6682050265,-36.3446260081,
8,22.58556456,-37.314686861,
9,25.1933517181,-37.149623215,
10,28.0745434271,-36.4710734844,
11,30.2262054203,-37.6228459906,
12,32.4005565,-37.1308892939,
13,34.8394735582,-36.8837318917,
14,37.0660120427,-36.8027849869,
15,41.3778203442,-36.8246406419,
16,44.5031984,-36.9906816198,
17,46.816554425,-36.5543319891,
18,49.5348677652,-36.3062154334,
19,52.4955348187,-37.1160493423,
20,56.8067984887,-34.9312041236,
21,59.9454340985,-36.5248940749,
22,61.3124867414,-38.071331853,
23,64.4536898629,-35.2172768597,
24,67.5459089942,-36.9506605332,
25,70.1292424763,-36.1195675062,
26,74.0744616483,-36.6935141013,
27,76.5595030815,-36.1509274266,
28,79.8045886309,-37.4133513569,
29,83.0788075223,-36.114156443,
30,85.9885922923,-36.0359475154,
31,89.34511401,-36.6354060791,
32,91.8500832947,-36.8797856547,
33,95.4009616416,-37.0733864705,
34,98.8423406197,-35.7944154447,
35,100.441027398,-37.0313459973,
36,103.174784733,-35.9772775158,
37,107.889575124,-35.2370036056,
38,112.327517988,-36.7642361675,
39,114.851117087,-37.4083338155,
40,118.06275419,-35.2272229316,
41,121.122021476,-37.2533209945,
42,124.611154224,-36.5453745657,
43,126.935368863,-36.357743163,
44,129.535160462,-36.3065408921,
45,133.529369184,-36.3354918222,
46,137.127060264,-36.3699263493,
47,139.182972992,-37.893533711,
48,141.238173484,-37.172985402,
49,141.708148365,-37.5668525161,
50,144.431012887,-37.7329099738,
51,147.567388088,-36.8354396391,
52,152.149441877,-36.7476179503,
53,154.38663719,-36.5874466254,
54,159.399758804,-35.4901841232,
55,162.907355894,-36.3688528882,
56,166.227206058,-35.8754295454,
57,169.040481763,-36.3100641955,
58,171.822253949,-37.0427582985,
59,175.607326539,-35.9039680654,
60,179.839990327,-36.252552907,
61,182.864671483,-35.9779482526,
62,184.341261609,-38.7286002343,
63,188.267730382,-35.1778180324,
64,189.54884792,-37.0704754231,
65,191.613230046,-37.8729834592,
66,195.68320423,-36.2847672379,
67,196.489091559,-36.8511709355,
68,199.446660091,-35.8291489856,
69,203.191936869,-35.6032120338,
70,204.101773219,-38.0667022421,
71,208.171125062,-36.3107308903,
72,211.072834761,-35.9755696228,
73,213.346347729,-36.1047265871,
74,216.116632138,-37.2345474029,
75,220.013525198,-35.9193218548,
76,222.088973153,-37.4355447409,
77,224.211504185,-37.2985742974,
78,226.047634849,-37.8745422567,
79,229.223373074,-36.7495976912,
80,233.318009321,-36.3864961057,
81,236.252538102,-36.8445693616,
82,238.476972877,-35.8463106772,
83,241.614213314,-36.0643007147,
84,245.533380157,-36.1825615995,
85,249.964835906,-36.34146815,
86,252.801256297,-36.4905403736,
87,255.2778257,-36.9259583031,
88,257.994183531,-37.4793999355,
89,261.859412288,-36.3750899639,
