Index|Stock>,Undetected Active Errors,Undetected Passive Errors,
0,0,0,
1,2.68798594152,3.09069393178,
2,6.2855948917,3.94619628076,
3,8.68176448739,1.86219250493,
4,13.2160347407,3.26416280808,
5,16.9338239527,4.2156975931,
6,19.6985286297,2.63789659086,
7,22.8885906571,3.91508547344,
8,26.1441106386,4.40970333177,
9,28.7692171578,2.24914552639,
10,31.598630563,3.88215711862,
11,33.2259178179,3.02411567867,
12,36.8003440106,3.84987814685,
13,39.0541904693,3.25731173699,
14,41.8381810608,4.3373122609,
15,45.6509600839,4.16727950697,
16,49.8970244538,4.237504741,
17,53.0225952162,3.39403034622,
18,56.1002942736,3.56606270731,
19,61.2387855678,4.63255310398,
20,64.5473254117,4.02342381099,
21,66.9373439552,1.98828840041,
22,69.0815229937,3.79454456785,
23,72.5947003649,4.62359980907,
24,76.6304962488,3.61504679383,
25,81.1893619397,2.80074485276,
26,82.8945895065,2.1866384347,
27,86.011994612,3.18838072758,
28,89.9514201935,3.85335349678,
29,95.2183096622,5.16586977816,
30,97.7848432407,4.32419924633,
31,100.172180087,2.77557439481,
32,103.318297102,3.02244309237,
33,107.818407846,4.75757642762,
34,112.055186098,3.29539331567,
35,115.798803438,4.22536682828,
36,117.501401973,2.56792407587,
37,121.255873612,3.44139527211,
38,124.012610286,3.19142036929,
39,127.910840134,3.00501385179,
40,132.518784937,3.88276029787,
41,136.997104883,4.4739429272,
42,141.099716092,3.37492626723,
43,143.60681379,3.55478718235,
44,145.343522223,1.87235817155,
45,147.752731502,4.51236837671,
46,151.929715168,3.93764988324,
47,154.244884912,2.43061619855,
48,158.170442912,2.87415554492,
49,163.189322495,4.01364642957,
50,164.675732467,2.97343734411,
51,167.138012785,3.05289188514,
52,170.22692836,3.2470234012,
53,173.064386805,3.01434803963,
54,177.241109841,4.63148091398,
55,181.651229982,3.71948598356,
56,185.382542556,4.32982231538,
57,189.090100097,4.11884588639,
58,192.180262481,3.27285752389,
59,195.768794276,3.24576349669,
60,199.330525937,2.55162569182,
61,202.774343408,3.77815785502,
62,205.727569225,4.3771180533,
63,208.231169549,3.12368307814,
64,210.823879389,3.17364343679,
65,212.774668981,2.94338259453,
66,215.655893984,2.90854386015,
67,220.739839027,4.82012946538,
68,225.127870815,3.42797528862,
69,228.657853569,3.42696800469,
70,232.629772632,4.15841785871,
71,235.937157875,3.9979204457,
72,239.993659473,4.74671518755,
73,243.300176588,3.34761807591,
74,246.977246169,3.27912872495,
75,250.642976746,3.83274257057,
76,254.531846521,2.87266447077,
77,257.832746656,3.74090405603,
78,259.982745232,2.72106670677,
79,264.385593111,4.95693201989,
80,268.073281015,4.73396788545,
81,271.3961137,3.39348432141,
82,273.753510095,2.74344099775,
83,275.454079193,3.90767565801,
84,278.494714741,3.02412969641,
85,280.867345072,3.18490167757,
86,285.124080086,3.47828639435,
87,288.999359841,4.04808764356,
88,291.153660678,1.72663791706,
89,295.648361512,4.31182175929,
90,297.947226947,2.66499687877,
91,301.006575687,2.71616638762,
92,305.548712207,4.3688642758,
93,308.378311981,3.18158617361,
94,313.423931451,4.54962100145,
95,315.472626485,3.23662265314,
96,319.634923391,3.54630962738,
97,322.685170832,2.63294851057,
98,325.623074702,3.15518265342,
99,329.149559707,3.46475875677,
100,331.771716136,2.84842100627,
101,334.598625952,3.48964113228,
102,336.750785918,3.37252900392,
103,339.421654381,2.07506928344,
104,341.794699626,3.04340879315,
105,344.738899971,4.60401478876,
106,348.100617088,3.09806306171,
107,351.275353248,1.72471758812,
108,355.909305268,3.43544834754,
109,359.467494561,3.42044517565,
110,363.5229757,4.02871318107,
111,366.797431319,4.12872254029,
112,369.819002105,3.67362383803,
113,373.106789482,3.45238721821,
114,377.359152624,3.69549983955,
115,379.856046216,3.34089414377,
116,381.902476546,3.19200545507,
117,386.616235275,4.47316891114,
118,389.100306039,2.79079161857,
119,391.483731373,2.65007905305,
120,394.874110306,4.28242559493,
121,396.840107132,3.23412549844,
122,401.159852489,4.47732196114,
123,404.618628344,3.22181760808,
124,408.974095052,3.52101078597,
125,412.582447375,2.88624039665,
126,416.691184397,4.34100877345,
127,420.747887702,3.80606657113,
128,422.708122095,2.70604745024,
129,426.927503252,3.51644069737,
130,431.573685742,3.94314683272,
131,434.452088899,4.08070593657,
132,437.803046089,2.82890271186,
133,442.73743114,5.3902346504,
134,447.722514677,4.60783378603,
135,451.964874234,5.26061186746,
136,454.910954816,2.65169915937,
137,457.943252675,4.25263289258,
138,459.473057705,2.30936268881,
139,464.859724245,4.46286407784,
140,467.256293683,3.14467172319,
141,469.893595133,4.39811848279,
142,473.926244984,4.70036525669,
143,477.38223933,4.54635681461,
144,481.936879639,3.28285106568,
145,484.239306254,2.86457664113,
146,485.791389725,2.17833791516,
147,488.884888794,2.0534199658,
148,492.278033889,3.96669181567,
149,493.206705544,1.91663500278,
150,496.161068011,3.07315754806,
151,500.521049561,4.44116873787,
152,504.774419362,4.83875538776,
153,509.344829082,2.85425219739,
154,512.948694567,3.74501905248,
155,515.739810589,3.22863297299,
156,520.141605122,5.08674919993,
157,523.987986379,4.17865368055,
158,527.544819447,4.68028248073,
159,531.650645891,3.95252894333,
160,535.502649176,3.33771294165,
161,537.614682089,3.0795916552,
162,541.035933945,3.30313039375,
163,542.312354705,2.48148614264,
164,545.258381246,3.31271929184,
165,549.033234099,4.66822242526,
166,551.448276676,2.38515988245,
167,553.914235418,1.55178294476,
168,556.994746972,3.45393831146,
169,560.249613931,2.9413792434,
170,564.792339741,4.36449963618,
171,568.580121618,4.4111092911,
172,573.488499997,4.87851631593,
173,575.044966929,2.25843063231,
174,579.826436289,4.0553177215,
175,582.926078831,3.45594937433,
176,585.581267812,2.7838103331,
177,589.401567008,2.97636015188,
178,592.560609867,2.96109864193,
179,596.47307873,4.31370778608,
180,599.881070827,2.12793182505,
181,603.274742218,3.27771372944,
182,606.108205485,4.00900956903,
183,609.597269478,3.28728783374,
184,611.877267118,2.41317369722,
185,615.522332784,3.57218788495,
186,618.34032653,3.13877774812,
187,621.926036211,2.90231625738,
188,625.618274138,4.10047992859,
189,628.033868455,3.77950252097,
190,632.840965723,5.89319290695,
191,634.303047346,2.28962415661,
192,637.724049883,4.11211761038,
193,641.710888184,3.90066771763,
194,644.590651141,3.56206314771,
195,649.007991783,4.27865991359,
196,651.931644786,3.28805900952,
197,654.624362317,2.74460607353,
198,659.063538977,4.88984413589,
199,663.88507908,5.00253460203,
200,668.622919968,5.41417351244,
201,671.961599017,3.62952160101,
202,676.994815119,4.20235845133,
203,680.265737798,2.89250998827,
204,685.646392153,4.99047069717,
205,689.528941889,4.63041554195,
206,694.307886226,4.94063515735,
207,696.529695757,3.09535212379,
208,698.991129419,2.39931665735,
209,701.813312328,3.05855037227,
210,704.015181073,3.3679872338,
211,706.6295189,3.44494280493,
212,710.163950981,4.29792191204,
213,712.616339211,4.00764294878,
214,716.129858567,3.93396399307,
215,718.959450867,3.51161933003,
216,721.990804709,2.55902921591,
217,726.653672248,4.67815558534,
218,729.843905024,2.73154113927,
219,733.949762144,4.83661986757,
220,737.632348365,2.72020478904,
221,741.406309971,2.6011964221,
222,744.960255062,3.85733915095,
223,748.700952583,3.66013963707,
224,750.837223372,3.25051520353,
225,754.185965263,2.47256500997,
226,757.079135988,3.42784714311,
227,760.151602617,4.27070629247,
228,763.071185742,2.88575607006,
229,766.186799314,3.30451199176,
230,768.317928288,3.02971049968,
231,771.753576813,3.14932994653,
232,775.220899412,4.03320263838,
233,779.708638138,4.63924698269,
234,784.579291543,4.46868225402,
235,788.192461776,3.63553275659,
236,792.306234006,3.66699526624,
237,796.127408855,4.56589294191,
238,799.074534615,2.65911967685,
239,802.54204653,3.8585967953,
240,803.94361571,2.68229320159,
241,806.378759368,3.20284450607,
242,809.99759251,4.08272934292,
243,813.134763465,3.53017590972,
244,816.797299432,2.87658306708,
245,820.611060735,3.34600158284,
246,824.533963562,3.22946325145,
247,827.063057349,2.04090805836,
248,829.949626055,4.22504310645,
249,834.957791734,4.46121465331,
250,838.526933517,3.02740406264,
251,841.870862967,3.48208211117,
252,843.884071677,2.69017120461,
253,846.266959578,3.29743159126,
254,849.50180435,3.14582608489,
255,851.027810186,2.58041609753,
256,855.059532235,3.75570211553,
257,858.255720899,3.67829902638,
258,861.318476498,4.46363784005,
259,864.457401575,3.72656117725,
260,868.959400407,3.08769854798,
261,872.461502107,3.7114672691,
262,875.498838363,2.36355106583,
263,879.439905478,3.49381531449,
264,883.673183657,4.249714193,
265,886.740426959,4.528226621,
266,890.884183591,3.60950437979,
267,892.614628704,2.16044647604,
268,896.121958883,2.80672545974,
269,900.070054435,5.03800206329,
270,904.119452102,4.29024737837,
271,908.158764937,4.07951432444,
272,910.370525449,2.93381239501,
273,913.584029752,3.56589012415,
274,917.023588842,3.11749921339,
275,919.683418308,2.7340721771,
276,922.381239003,3.62037695638,
277,925.863079426,3.12440052637,
278,927.683828981,2.46857913875,
279,930.722713263,4.02956369257,
280,932.524359643,2.40086080157,
281,935.227438904,3.96100533833,
282,940.224779809,3.99684113027,
283,943.198094359,3.03386356384,
284,945.85794929,2.3878472038,
285,949.958470298,3.37901493596,
286,952.926761438,3.27678041393,
287,955.665941749,3.09923223065,
288,960.033963059,3.82300183306,
289,962.647328546,2.23482560527,
290,966.120808924,3.66029196694,
291,969.194104147,2.12531685238,
292,973.48690272,4.08719787444,
293,976.224274296,2.82188958453,
294,979.313434064,3.17552437342,
295,982.574072055,3.76083728758,
296,985.868717632,4.02125865776,
297,988.46133258,3.15002228604,
298,992.176379934,4.37347683512,
299,994.802057903,2.73788868078,
300,999.890245143,3.43248472914,
301,1003.48600254,3.97091173842,
302,1006.39185662,3.21263316397,
303,1007.88695343,2.91758870983,
304,1011.99089961,2.65812777554,
305,1014.33618804,2.72024256555,
306,1016.32388408,1.86212973656,
307,1019.76743898,2.1173869445,
308,1022.21414047,3.01608511212,
309,1025.01208501,3.15575016677,
310,1027.89409479,3.07807317086,
311,1031.22477538,3.44097107712,
312,1033.41416176,2.5873076775,
313,1035.73444102,3.61002167231,
314,1039.59783644,4.57363086111,
315,1042.39695251,2.92672546847,
316,1045.01154849,2.09071368084,
317,1047.99339869,3.65448172547,
